RowID,OrderID,OrderDate,ShipDate,CustomerID,ProductID,PostalCodeID,ShipModeID,Sales,Quantity,Discount,Profit
1,CA-2016-152156,08/11/2016,11/11/2016,CG-12520,FUR-BO-10001798-1-1,218,3,261.96,2,0,41.9136
2,CA-2016-152156,08/11/2016,11/11/2016,CG-12520,FUR-CH-10000454-1-1,218,3,731.94,3,0,219.582
3,CA-2016-138688,12/06/2016,16/06/2016,DV-13045,OFF-LA-10000240-2-1,518,3,14.62,2,0,6.8714
4,US-2015-108966,11/10/2015,18/10/2015,SO-20335,FUR-TA-10000577-1-1,171,4,957.5775,5,0.45,-383.031
5,US-2015-108966,11/10/2015,18/10/2015,SO-20335,OFF-ST-10000760-1-1,171,4,22.368,2,0.2,2.5164
6,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,FUR-FU-10001487-1-1,517,4,48.86,7,0,14.1694
7,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,OFF-AR-10002833-1-1,517,4,7.28,4,0,1.9656
8,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,TEC-PH-10002275-1-1,517,4,907.152,6,0.2,90.7152
9,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,OFF-BI-10003910-1-1,517,4,18.504,3,0.2,5.7825
10,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,OFF-AP-10002892-1-1,517,4,114.9,5,0,34.47
11,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,FUR-TA-10001539-1-1,517,4,1706.184,9,0.2,85.3092
12,CA-2014-115812,09/06/2014,14/06/2014,BH-11710,TEC-PH-10002033-1-1,517,4,911.424,4,0.2,68.3568
13,CA-2017-114412,15/04/2017,20/04/2017,AA-10480,OFF-PA-10002365-1-1,120,4,15.552,3,0.2,5.4432
14,CA-2016-161389,05/12/2016,10/12/2016,IM-15070,OFF-BI-10003656-1-1,620,4,407.976,3,0.2,132.5922
15,US-2015-118983,22/11/2015,26/11/2015,HP-14815,OFF-AP-10002311-3-1,418,4,68.81,5,0.8,-123.858
16,US-2015-118983,22/11/2015,26/11/2015,HP-14815,OFF-BI-10000756-3-1,418,4,2.544,3,0.8,-3.816
17,CA-2014-105893,11/11/2014,18/11/2014,PK-19075,OFF-ST-10004186-1-1,295,4,665.88,6,0,13.3176
18,CA-2014-167164,13/05/2014,15/05/2014,AG-10270,OFF-ST-10000107-1-1,485,3,55.5,2,0,9.99
19,CA-2014-143336,27/08/2014,01/09/2014,ZD-21925,OFF-AR-10003056-1-1,577,3,8.56,2,0,2.4824
20,CA-2014-143336,27/08/2014,01/09/2014,ZD-21925,TEC-PH-10001949-1-1,577,3,213.48,3,0.2,16.011
21,CA-2014-143336,27/08/2014,01/09/2014,ZD-21925,OFF-BI-10002215-1-1,577,3,22.72,4,0.2,7.384
22,CA-2016-137330,09/12/2016,13/12/2016,KB-16585,OFF-AR-10000246-2-1,373,4,19.46,7,0,5.0596
23,CA-2016-137330,09/12/2016,13/12/2016,KB-16585,OFF-AP-10001492-2-1,373,4,60.34,7,0,15.6884
24,US-2017-156909,16/07/2017,18/07/2017,SF-20065,FUR-CH-10002774-1-1,82,3,71.372,2,0.3,-1.0196
25,CA-2015-106320,25/09/2015,30/09/2015,EB-13870,FUR-TA-10000577-1-1,483,4,1044.63,3,0,240.2649
26,CA-2016-121755,16/01/2016,20/01/2016,EH-13945,OFF-BI-10001634-1-1,520,3,11.648,2,0.2,4.2224
